Curso,Nombre,Semestre.curso,Semestre.semestre,carrera,Columna1
Estructuras de Datos,Olive Stone,642708ed3bfa44cdd942c9ca,2,Matemáticas Aplicadas,
Lógica para Ciencias de la Computación,Olive Stone,642709713bfa44cdd942c9cf,3,Matemáticas Aplicadas,
Fundamentos de Matemáticas,Olive Stone,64270e1a3bfa44cdd942c9f2,1,Matemáticas Aplicadas,
Geometría Plana y Analítica,Olive Stone,64270e353bfa44cdd942c9f3,1,Matemáticas Aplicadas,
Matemáticas Discretas,Olive Stone,64270e7d3bfa44cdd942c9f6,2,Matemáticas Aplicadas,
Álgebra Moderna,Olive Stone,64270f093bfa44cdd942c9fa,4,Matemáticas Aplicadas,
Ecuaciones Diferenciales,Olive Stone,64270f523bfa44cdd942c9fc,5,Matemáticas Aplicadas,
Estadística Aplicada,Olive Stone,64270f8d3bfa44cdd942c9fd,5,Matemáticas Aplicadas,
Optimización Matemática,Olive Stone,64270f9f3bfa44cdd942c9fe,6,Matemáticas Aplicadas,
Optimización Matemática,Olive Stone,64270fd23bfa44cdd942c9ff,6,Matemáticas Aplicadas,
Estadística Avanzada,Olive Stone,64270fe63bfa44cdd942ca00,7,Matemáticas Aplicadas,
Humanidades,Olive Stone,6427106b3bfa44cdd942ca05,2,Matemáticas Aplicadas,
Ética,Olive Stone,642711223bfa44cdd942ca0d,7,Matemáticas Aplicadas,
Ética,Olive Stone,642711383bfa44cdd942ca0e,7,Matemáticas Aplicadas,
Trabajo de Grado,Olive Stone,64273d8e3bfa44cdd942ca13,8,Matemáticas Aplicadas,
Práctica Estudiantil,Olive Stone,64273da33bfa44cdd942ca14,8,Matemáticas Aplicadas,
